0.13438,0.004,0.6456
0.2839,0.0116,1.3856
0.34828,0.023,1.7471
0.3362,0.038,1.7721
0.2908,0.06,1.6692
0.19536,0.09098,1.2876
0.09564,0.13902,0.81295
0.03201,0.20802,0.46518
0.0049,0.323,0.272
0.0093,0.503,0.1582
0.06327,0.71,0.07825
0.1655,0.862,0.04216
0.2904,0.954,0.0203
0.43345,0.99495,0.00875
0.5945,0.995,0.0039
0.7621,0.952,0.0021
0.9163,0.87,0.00165
1.0263,0.757,0.0011
1.0622,0.631,0.0008
1.0026,0.503,0.00034
0.85445,0.381,0.00019
0.6424,0.265,5e-05
0.4479,0.175,2e-05
0.2835,0.107,0
0.1649,0.061,0
0.0874,0.032,0
0.04677,0.017,0
0.0227,0.00821,0
0.011359,0.004102,0
0.0057903,0.002091,0
0.0028993,0.001047,0
0.00144,0.00052,0
0.00069008,0.0002492,0
0.0003323,0.00012,0
0.00016615,6e-05,0
8.3075e-05,3e-05,0
4.151e-05,1.499e-05,0
2.0674e-05,7.4657e-06,0
1.0254e-05,3.7029e-06,0
5.0859e-06,1.8366e-06,0
2.5225e-06,9.1093e-07,0
1.2511e-06,4.5181e-07,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
